,Theme,Name
61,증권,"['다올투자증권', '키움증권', '한국금융지주', '유진투자증권', '부국증권', '삼성증권', '한양증권', '한화투자증권', '신영증권', 'DB금융투자', '현대차증권', '코리아에셋투자증권', '미래에셋증권', 'NH투자증권', '대신증권', '상상인증권', 'SK증권', '이베스트투자증권', '유안타증권', '교보증권', '유화증권']"
62,조림사업,"['동신건설', '성창기업지주', 'SK', '효성오앤비', '대유에이텍', '무림P&P', '한솔홈데코', '자연과환경', '제이씨케미칼', '이건홀딩스', '이건산업', 'SUN&L', '한익스프레스']"
63,마리화나(대마),"['오성첨단소재', '한국비엔씨', '화일약품', '애머릿지', '엔에프씨', '에스엘에너지', 'HLB바이오스텝', '비엘팜텍', '세토피아', '메디콕스', '우리바이오', '아이큐어', 'EDGC']"
64,은행,"['JB금융지주', 'BNK금융지주', 'DGB금융지주', '하나금융지주', 'KB금융', '기업은행', '신한지주', '우리금융지주', '카카오뱅크', '제주은행']"
65,GTX(수도권 광역급행철도),"['РЏНХ', 'DL', 'ЧіДыАЧМГ', 'GSАЧМГ', 'ЕЕШ\xadПЃСіДЯОюИЕ', 'DLРЬОиОО', 'ЛяМКСпАјОї', 'РЏСјБтОї', 'ЧіДыЗЮХл', 'ДыОЦЦМОЦРЬ', 'HDCЧіДыЛъОїАГЙп', 'ЕПОЦСіСњ', 'ПьПјАГЙп', 'ХТПЕАЧМГ', 'М\xadЧб', 'HJСпАјОї', 'ГВБЄХфАЧ', 'ДйПјНУНК', 'ДыПьАЧМГ', 'HL D&I', 'ЦЏМіАЧМГ', 'ЛяЧіУЖА\xad', 'БнШЃАЧМГ', 'ММИэРќБт', 'КёУїЗЮНУНК', 'ИЎГыНК']"
66,LCD 부품/소재,"['코디', '오성첨단소재', '미래나노텍', '우주일렉트로', '상보', 'LG화학', '코오롱인더', '천보', '삼성SDI', '에스에이엠티', 'SKC', '한솔아이원스', '아바텍', '이엔에프테크놀로지', '아나패스', '예선테크', '유아이디', '네패스', '일월지엠엘', '티엘아이', '한솔테크닉스', '엘티씨', '제이엠티', '케이엔더블유', '코이즈', '와이엠씨', '동진쎄미켐', '인지디스플레', '한국컴퓨터', '신화인터텍', 'LX세미콘', '세진티에스', '이라이콤', '에스앤에스텍', '파인디앤씨', '켐트로닉스', '솔브레인', '에스폴리텍', '디스플레이텍', '원익머트리얼즈', '솔브레인홀딩스', '삼진엘앤디', '뉴파워프라즈마', '엘엠에스', '토비스', '에프에스티']"
67,LED장비,"['코디', '미래컴퍼니', '프로텍', '티씨케이', '탑엔지니어링', '엘아이에스', '한미반도체', '레이저쎌', '네온테크', '기가레인', '티에스이', '주성엔지니어링', '이오테크닉스', '예스티']"
68,해운,"['팬오션', '대한해운', 'HMM', '흥아해운', 'KSS해운']"
69,아이폰,"['앤디포스', 'LG디스플레이', 'LG화학', '넥스턴바이오', '영풍', '삼성SDI', '덕우전자', '프로텍', '삼성전기', '에코볼트', '위니아에이드', '한솔테크닉스', '삼성전자', 'LG이노텍', '와이엠티', '이녹스첨단소재', '아이티엠반도체', 'LX세미콘', '슈피겐코리아', '하이비젼시스템', 'SK하이닉스', '인터플렉스', '비에이치', '덕산네오룩스']"
70,日 수출 규제(국산화 등),"['디이엔티', '켐트로스', '일지테크', '한화솔루션', '후성', 'PI첨단소재', '율촌화학', '스마트솔루션즈', '삼륭물산', '이녹스첨단소재', '동진쎄미켐', '송원산업', '케이피엠테크', '에스앤에스텍', '램테크놀러지', '풍원정밀', '솔브레인', '경인양행', '솔브레인홀딩스', '우리로']"
71,편의점,"['GS리테일', '롯데지주', '이마트', '유성티엔에스', 'BGF리테일']"
